status,shopify_product_id,handle,source_title,variants,first_sku,first_ean,size_confidence,missing_translations,outdated_translations,reason
included,7347892191482,cat-wallpaper-vinyl-decal-decor-home-bedroom-peel-and-stick-removable-gray-kitten-art-wall-sticker-cute-kitty-adhesive-room-decoration,Gray Kitten Paradise: Adorable Peel and Stick Cat Wall Sticker,10,16530604898764,7341147030974,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,,
included,7347892912378,sunset-wallpaper-decals-peel-stick-nature-photo-self-adhesive-mural-wall-paper-decal-vinyl-stickers-murals-for-bedroom-sticker-decor-1,"Urban Sunset Skyline Wall Stickers, Vibrant Adhesive Decals for Home Decor",9,26292190085030,7341147031193,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ee:description,
included,7347911557370,kids-world-map-wall-decal-country-animal-room-decor-vinyl-sticker-for-nursery-peel-and-stick-art-of-education-bedroom-playroom-mural,World Explorer Adventure Wall Decal - Nautical Globe Map Vinyl Sticker,20,28027204262342,7341147031568,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ee:description,
included,7347912671482,glow-in-the-dark-wall-vinyl-sticker-art-luminescent-neon-night-glowing-light-decal-kid-room-stick-banksy-girl-with-heart-balloon-hope,Luminescent Night Glow Wall Decal - Magical Vinyl Sticker Art,20,19356306556043,7341147031766,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ee:description,
included,7347916374266,wild-jaguar-wall-sticker-cat-animal-art-vinyl-black-panther-decal-leopard-safari-predator-african-puma-head-body-colorful-decor-print,"Stylish Wall Sticker Featuring a Panther Design, Sophisticated Wall Decoration",40,24780594694241,7341147032169,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ee:description,
included,7347920568570,california-golden-gate-bridge-wallpaper-sticker-wall-cover-art-san-francisco-vinyl-print-room-decal-home-usa-bedroom-wallpapers-decor,Golden Gate Bridge Vinyl Wall Decal - San Francisco Skyline Wall Art,10,16226182485677,7341147032763,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ee:description,
included,7347930169594,dinosaur-wall-porthole-decal,3D Dinosaur Wall Decal | Broken Wall Porthole Design,12,22901422523388,7341147034743,high,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ee:title; ee:description,
included,7347932037370,banksy-barcode-robot-wall-vinyl-sticker-street-art-graffiti-machine-decal-boys-room-decor-mural-die-cut-print-room-stickers-decals,Barcode Robot Wall Vinyl Sticker - Urban Street Art Decal,19,64223684896041,7341147035290,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ee:description,
included,7347934560506,banksy-heart-balloon-vinyl-wall-sticker-art-home-decor-cool-and-premium-waterproof-decal-adult-graffiti-with-quality-keen-bansky-laptop,Stylish Modern Urban Chic Balloon Wall Sticker Decal for Home Decor,40,24582571890181,7341147035689,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ee:description,
included,7347937607930,6x-pet-alert-emergency-cling-stickers-home-door-window-dog-cat-inside-sticker-decal-fire-safety-rescue-alert-animal-save-our-pets-signs-1,6 Emergency Pet Alert Safety Notice Cling Stickers,1,13446388749626,7341147037690,high,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ee:title; ee:description,
